Episode,Title,URL,Status,Date,Duration
67,एक Broken Helmet की कहानी जानने के लिए Abhijeet बना Biker | CID Season 2 | Full Episode | Ep 67,https://www.youtube.com/watch?v=1ciJOYBpJe4,Found,08 May 2026,46:23
68,क्या है Abhijeet के Hallucination का राज? | CID Season 2 | Full Episode | Ep 68,https://www.youtube.com/watch?v=UrvvjNBGZJk,Found,08 May 2026,47:42
69,किसने किया CID Officers का Online Transaction Fail? | CID Season 2 | Full Episode | Ep 69,https://www.youtube.com/watch?v=wBpxsPgaxaE,Found,08 May 2026,42:53
70,क्या Team CID कर पाएगी Horror Accident के सच का खुलासा? | CID Season 2 | Full Episode | Ep 70,https://www.youtube.com/watch?v=odNuG0zMlQs,Found,08 May 2026,49:08
71,Team CID को मिली Principal के Nails में एक ज़हरीली Powder | CID Season 2 | Full Episode | Ep 71,https://www.youtube.com/watch?v=gD9jTsRTlvM,Found,08 May 2026,46:21
72,कैसे फंसी Team CID Lunaro Art Gallery Case के जंजाल में? | CID Season 2 | Full Episode | Ep 72,https://www.youtube.com/watch?v=oA5RQVgm2Hk,Found,08 May 2026,41:16
73,CID - Episode 73,https://www.youtube.com/watch?v=Ru8gy6kNRL0,Found,08 Sep 2014,41:21
74,Truck पर Headless Body देखकर क्यों चौंक गई Team CID? | CID Season 2 | Full Episode | Ep 74,https://www.youtube.com/watch?v=oVslrI1h2o4,Found,07 Jun 2026,45:06
75,एक Author की Mystery को कैसे Uncover करेगी CID? | CID Season 2 | Full Episode | Ep 75,https://www.youtube.com/watch?v=w7nQ2F8fNjM,Found,07 Jun 2026,47:28
76,क्या इस Serial Criminal को Team CID कर पाएगी Capture? | CID Season 2 | Full Episode | Ep 76,https://www.youtube.com/watch?v=VJ0FXIdPCfE,Found,07 Jun 2026,47:12
77,Celestial Phenomenon की Mystery को कैसे Unfold करेगी CID? | CID Season 2 | Full Episode | Ep 77,https://www.youtube.com/watch?v=hUlEDRTRuSs,Found,07 Jun 2026,47:58
78,क्या Abhijeet की वजह से जाएगी उसके जिगरी दोस्त की जान? | CID Season 2 | Full Episode | Ep 78,https://www.youtube.com/watch?v=x_z4n-TSVV8,Found,07 Jun 2026,48:43
79,क्या Park की Ghost Mystery को Uncover कर पाएगी CID? | CID Season 2 | Full Episode | Ep 79,https://www.youtube.com/watch?v=RQsir_w4uMY,Found,07 Jun 2026,45:16
80,80 Lakh की Robbery को CID कैसे करेगी Solve? | CID Season 2 | Ep 8 | Best Crime Cases,https://www.youtube.com/watch?v=LdQWpGkY0Vo,Found,07 Jun 2026,48:08
81,Psycho Fan की Mystery में उलझी Team CID | CID Season 2 | Full Episode | Ep 81,https://www.youtube.com/watch?v=FR83ZDm_5VI,Found,07 Jun 2026,45:21
82,कैसे उलझ गई Team CID इस अजीब Fairyland Case में? | CID Season 2 | Full Episode | Ep 82,https://www.youtube.com/watch?v=xeCQKe7k8iU,Found,07 Jun 2026,46:23
83,Engagement से मौत तक CID कैसे सुलझाएगी यह Mystery? | CID Season 2 | Full Episode | Ep 83,https://www.youtube.com/watch?v=oipsxBsl5l0,Found,07 Jul 2026,45:04
